,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
778,26,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,9.0,,,,,,,,2,,2,6,5.0,1.0,1,6,6,Tarija
780,19,1,,,,,2,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,10.0,,,,,,,,5,9.0,,,,,,,,1,2.0,2,1,6.0,5.0,2,6,6,Tarija
783,20,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,1,2.0,2,5,6.0,1.0,2,6,6,Tarija
784,25,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,1,2.0,2,5,6.0,,2,6,6,Tarija
785,25,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,1,2.0,2,4,5.0,6.0,2,6,6,Tarija
786,14,1,,,,,1,3.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,7,2.0,3.0,2,2,6,Tarija
791,20,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,9,10.0,,,,,,,,5,,,,,,,,,1,2.0,2,5,4.0,6.0,2,6,6,Tarija
793,15,1,,,,,2,2.0,3.0,5.0,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,8.0,,10.0,,,,,1,7.0,,,,,,,,2,,1,6,1.0,5.0,1,2,6,Tarija
795,19,1,,,,,1,2.0,3.0,,,1,1,2,2,2,,,,,,,,1.0,7,1,7.0,,,,,,,,9,,,,,,,,,2,,2,7,1.0,3.0,2,6,6,Tarija
798,19,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,5,1,2.0,4.0,,,,,,,5,7.0,9.0,12.0,,,,,,1,1.0,2,3,6.0,,2,6,6,Yacuiba
802,16,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,5,8,,,,,,,,,9,,,,,,,,,2,,1,5,1.0,7.0,2,2,6,Yacuiba
803,23,1,,,,,1,3.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,2,7.0,,,,,,,,9,,,,,,,,,2,,2,6,1.0,3.0,1,6,6,Yacuiba
804,19,1,,,,,1,2.0,3.0,,,1,1,2,1,1,1.0,2.0,7.0,,8.0,,,1.0,7,2,7.0,,,,,,,,5,,,,,,,,,2,,2,5,6.0,7.0,1,6,6,Yacuiba
806,30,1,,,,,1,2.0,3.0,,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,7,,,,,,,,,9,,,,,,,,,2,,2,6,5.0,3.0,2,6,6,Yacuiba
810,19,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,5,6.0,4.0,1,6,6,Yacuiba
811,21,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,5,9.0,,,,,,,,2,,2,5,6.0,1.0,2,6,6,Yacuiba
819,21,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,2,5.0,6.0,,10.0,,,,,1,3.0,9.0,10.0,,,,,,1,9.0,2,6,1.0,4.0,2,6,6,Yacuiba
820,14,1,,,,,2,2.0,3.0,5.0,,1,1,1,1,3,,,,,,,,1.0,1,1,9.0,10.0,,,,,,,5,,,,,,,,,2,,1,3,5.0,6.0,1,2,6,Yacuiba
822,25,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,7.0,10.0,,,,5,9.0,10.0,,,,,,,1,9.0,2,6,1.0,4.0,2,6,6,Yacuiba
828,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,2,,3,4,5.0,6.0,1,3,6,Carapari
830,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,13,,,,,Ninguna,,,,2,,1,6,1.0,3.0,1,2,6,El Común
842,15,1,,,,,2,2.0,3.0,4.0,5.0,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,,,,,1,5.0,9.0,,,,,,,2,,1,3,6.0,7.0,1,2,6,El Común
849,24,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,2,1,2.0,6.0,2,2,6,El Común
850,18,1,,,,,1,2.0,5.0,,,1,2,2,1,1,1.0,2.0,,,,,,1.0,7,2,9.0,,,,,,,,5,,,,,,,,,2,,3,9,,,2,3,6,El Común
851,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,2,,,,,,,,,9,,,,,,,,,2,,3,9,,,1,2,6,El Común
856,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,3,1,5.0,2.0,2,2,6,El Común
858,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,10.0,,,,,,,1,3.0,7.0,,,,,,,2,,3,6,1.0,4.0,1,3,6,El Común
860,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,10.0,,,,,,,1,9.0,,,,,,,,1,9.0,3,1,5.0,6.0,1,6,6,El Común
862,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,7,9.0,10.0,,,,,,,1,,,,,,,,,2,,3,1,3.0,6.0,1,2,6,Trinidad
863,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,7,9.0,10.0,,,,,,,1,,,,,,,,,2,,3,1,3.0,6.0,2,6,6,Trinidad
867,26,1,,,,,1,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,4.0,10.0,,,,,,,1,5.0,7.0,9.0,10.0,,,,,2,,1,1,2.0,3.0,1,6,6,Trinidad
878,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,2.0,3.0,2,2,6,Trinidad
879,23,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,9.0,,,,,,,,2,,3,1,3.0,6.0,1,6,6,Trinidad
880,18,1,,,,,1,1.0,2.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,,,,,,,,,1,2.0,3,1,6.0,5.0,2,3,6,Trinidad
881,14,1,,,,,1,,,,,1,1,2,1,2,,,,,,,,1.0,5,8,9.0,10.0,,,,,,,1,,,,,,,,,2,,3,1,6.0,5.0,1,2,6,Trinidad
882,18,1,,,,,1,3.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,3,4,7.0,10.0,,,,,,,1,5.0,6.0,7.0,9.0,,,,,1,9.0,1,1,2.0,5.0,1,3,6,Trinidad
884,24,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,4,7.0,9.0,,,,,,,5,7.0,,,,,,,,2,,1,3,5.0,6.0,1,6,6,Trinidad
885,19,1,,,,,1,2.0,3.0,4.0,5.0,1,2,1,1,1,1.0,4.0,7.0,,9.0,10.0,11.0,1.0,3,7,9.0,10.0,,,,,,,1,3.0,5.0,7.0,9.0,,,,,1,9.0,1,1,5.0,6.0,2,6,6,Trinidad
886,21,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,4,7,9.0,10.0,,,,,,,1,4.0,5.0,7.0,9.0,,12.0,,,2,,1,1,3.0,5.0,1,6,6,Trinidad
887,14,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,6,1,8.0,9.0,,,,,,,8,,,,,,,,,2,,3,6,,,2,2,6,Dorado Grande
888,18,1,,,,,1,3.0,4.0,5.0,,1,1,2,2,3,,,,,,,,1.0,7,1,5.0,9.0,,,,,,,1,5.0,10.0,,,,,,,1,1.0,3,9,,,1,3,6,Riberalta
889,20,1,,,,,2,,,,,2,2,2,2,3,,,,,,,,,1,2,5.0,11.0,,,,,,,1,3.0,7.0,,,,,,,2,,3,4,,,2,6,6,Riberalta
897,16,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,13,,,,,Ninguna,,,,2,,1,6,,,1,2,6,Rurrenabaque
898,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,13,,,,,Juegos,,,,2,,3,1,,,1,2,6,Rurrenabaque
903,19,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,9,,,,,,,,,1,2.0,2,1,5.0,,2,6,6,Rurrenabaque
913,24,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,4.0,6.0,7.0,8.0,9.0,9,,,,,,,,,1,1.0,2,1,5.0,,2,6,6,San Borja
915,14,1,,,,,2,3.0,,,,1,2,1,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,5.0,9.0,,,,,,,2,,1,1,5.0,6.0,1,2,6,San Borja
918,17,1,,,,,1,6.0,,,,1,1,1,1,3,,,,,,,,1.0,7,8,,,,,,,,,9,,,,,,,,,2,,1,6,5.0,4.0,2,2,6,San Borja
923,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,,,,,,,,,12,,,,,,,,,2,,1,9,,,1,2,6,San Ramón (Beni)
924,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,10,,,,,,,,,5,,,,,,,,,2,,1,1,,,2,2,6,San Ramón (Beni)
929,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,9.0,,,,,,,,7,,,,,,,,,2,,3,1,2.0,5.0,1,2,6,Agua Clara
935,14,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,4,5.0,9.0,,,,,,,2,,2,6,5.0,1.0,1,2,6,Cochabamba
941,18,1,,,,,1,1.0,,,,2,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,9.0,,,,,,,,2,,2,1,,,1,3,6,Cochabamba
942,14,1,,,,,2,2.0,3.0,4.0,5.0,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,3,1,,,2,2,6,Cobija
943,18,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,9,,3,1,2.0,3.0,1,3,6,Cobija
947,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,1,2,,,,,,,,,9,,,,,,,,,2,,3,9,,,2,2,6,Cobija
953,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,3,9,,,2,2,6,Cobija
954,23,1,,,,,2,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,9,,,,,,,,,9,,3,5,6.0,7.0,1,6,6,Cobija
961,15,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,1,2.0,3,9,,,1,2,6,Cobija
962,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,,,,,,,,,1,2.0,3,9,,,1,2,6,Agua Rica
967,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,10.0,,,,,,,,7,,,,,,,,,2,,1,5,,,2,2,6,Valle Grande
969,25,1,,,,,1,2.0,4.0,5.0,,2,2,2,2,2,,,,,,,,2.0,7,2,6.0,7.0,,,,,,,9,12.0,,,,,,,,1,1.0,2,9,,,2,6,6,Cobija
977,22,1,,,,,1,2.0,,,,2,2,2,1,3,,,,,,,,2.0,1,2,,,,,,,,,9,,,,,,,,,2,,2,2,1.0,3.0,2,6,6,Cobija
978,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,1,1.0,2,9,,,1,6,6,Cochabamba
992,15,1,,,,,2,3.0,5.0,6.0,,1,2,1,1,3,,,,,,,,,4,1,7.0,,,,,,,,7,,,,,,,,,2,,1,1,,,1,2,6,El Alto
993,15,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,4,1,2.0,,,,,,,,5,,,,,,,,,2,,1,5,,,1,2,6,El Alto
994,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,2,5.0,7.0,,9.0,10.0,,,,3,7.0,9.0,,,,,,,1,2.0,3,3,,,1,2,6,El Alto
997,17,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,2.0,6.0,2,2,6,El Alto
1001,16,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,1,,,,,,,,,2,,1,5,1.0,,1,2,6,El Alto
1010,18,1,,,,,1,1.0,5.0,,,1,2,2,1,1,2.0,10.0,,,,,,1.0,7,1,5.0,10.0,,,,,,,1,3.0,9.0,10.0,,,,,,1,1.0,2,6,3.0,1.0,2,3,6,Fátima
1013,15,1,,,,,1,2.0,3.0,4.0,,1,1,2,2,1,8.0,9.0,10.0,,,,,1.0,7,8,9.0,10.0,,,,,,,1,,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Papagayo
1017,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,6,,,2,1,6,Papagayo
1019,24,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,2,3,6,Papagayo
1023,20,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,4.0,9.0,,,,,,,1,,,,,,,,,1,2.0,2,1,,,2,6,6,Papagayo
1024,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,3,4,6.0,3.0,2,3,6,Papagayo
1025,25,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,1,1,10.0,11.0,,,,,,,9,,,,,,,,,1,1.0,2,5,2.0,1.0,2,6,6,Potosí
1027,23,1,,,,,1,1.0,2.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,9.0,10.0,,1,4.0,5.0,9.0,,,,,,1,1.0,2,5,6.0,1.0,2,6,6,Taratuma
1031,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,8,1.0,,,,,,,,1,7.0,,,,,,,,9,,3,6,,,1,2,6,Taratuma
1034,14,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,2,2,,,,,,,,,1,,,,,,,,,2,,1,1,2.0,5.0,1,2,6,Villa Viluyo
1036,23,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,2,7,8.0,,,,,,,,9,,,,,,,,,2,,3,1,,,1,3,6,Villa Viluyo
1037,20,1,,,,,1,4.0,5.0,3.0,,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,10.0,,4.0,,,,,9,,,,,,,,,2,,1,5,6.0,,2,6,6,Yacuiba
1041,21,1,,,,,1,3.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,7,1,4.0,8.0,,10.0,,,,,1,5.0,9.0,,,,,,,1,2.0,2,5,,,1,6,6,La Paz
1042,16,1,,,,,1,5.0,,,,1,2,1,2,3,,,,,,,,1.0,6,4,7.0,8.0,,10.0,,,,,5,7.0,,,,,,,,1,2.0,1,6,,,2,2,6,La Paz
1047,14,1,,,,,1,3.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,2,,,,,,,,,1,,,,,,,,,2,,1,3,,,1,2,6,La Paz
1055,16,1,,,,,1,1.0,3.0,4.0,,1,2,2,1,2,,,,,,,,1.0,7,1,6.0,7.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,8.0,2.0,1,2,6,La Paz
1056,23,1,,,,,1,4.0,,,,1,1,2,1,2,,,,,,,,1.0,2,1,,,,,,,,,7,,,,,,,,,2,,2,6,5.0,3.0,2,6,6,La Paz
1057,23,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,,,,,,,,,7,,,,,,,,,2,,1,5,7.0,1.0,1,3,6,La Paz
1060,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,,,,1,7.0,,,,,,,,1,1.0,1,1,,,2,2,6,La Paz
1062,20,1,,,,,1,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,7.0,9.0,,,,,,,7,,,,,,,,,1,1.0,1,1,,,2,1,6,La Paz
1063,19,1,,,,,1,3.0,4.0,,,1,2,2,2,3,,,,,,,,1.0,7,8,,,,,,,,,7,,,,,,,,,2,,1,4,1.0,3.0,1,3,6,La Paz
1065,21,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,5,7.0,,,,,,,,1,1.0,2,6,,,1,6,6,La Paz
1067,18,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,1,5,7.0,,,,,,,,9,,,,,,,,,1,2.0,2,1,,,1,3,6,La Paz
1068,20,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,1,1,10.0,,,,,,,,5,,,,,,,,,1,1.0,2,1,2.0,,2,6,6,La Paz
1072,14,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,3,2,5.0,10.0,,,,,,,5,7.0,9.0,,,,,,,2,,3,1,,,1,2,6,La Paz
1073,17,1,,,,,1,2.0,3.0,4.0,,1,1,2,2,2,,,,,,,,1.0,7,7,8.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,,,2,2,6,La Paz
1078,14,1,,,,,2,4.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,4.0,,7.0,9.0,10.0,,,5,9.0,,,,,,,,2,,3,6,,,2,2,6,La Paz
1079,17,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,3,7,8.0,10.0,,,,,,,9,,,,,,,,,2,,3,5,,,1,2,6,La Paz
1080,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,2.0,4.0,,9.0,10.0,,,,1,4.0,6.0,9.0,,,,,,1,2.0,1,1,2.0,5.0,2,2,6,La Paz
1083,16,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,4,7.0,8.0,,,,,,,5,9.0,13.0,,,SOBRE JUEGOS,,,,2,,3,1,2.0,,1,2,6,La Paz
1084,24,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,4,2,7.0,9.0,,,,,,,9,,,,,,,,,1,2.0,3,1,4.0,,2,6,6,La Paz
1090,27,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,7.0,9.0,10.0,11.0,,5,9.0,,,,,,,,1,1.0,1,1,2.0,,2,3,6,La Paz
1093,18,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,9.0,10.0,11.0,,9,,,,,,,,,1,1.0,2,2,1.0,,2,3,6,La Paz
1096,23,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,1,1.0,2.0,5.0,,,,,1.0,7,1,2.0,5.0,,,,,,,5,7.0,12.0,,,,,,,2,,2,1,5.0,,2,6,6,La Paz
1098,16,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,7,9.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,1,6.0,,2,2,6,La Paz
1102,16,1,,,,,2,1.0,2.0,3.0,5.0,1,1,2,1,3,,,,,,,,1.0,3,1,2.0,4.0,,5.0,9.0,,,,7,,,,,,,,,2,,3,1,,,1,2,6,La Paz
1103,21,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,3,1,2.0,10.0,,,,,,,7,,,,,,,,,2,,3,1,3.0,6.0,1,6,6,La Paz
1105,15,1,,,,,1,1.0,2.0,4.0,,1,1,2,1,1,1.0,2.0,3.0,,4.0,5.0,6.0,1.0,4,7,,,,,,,,,12,,,,,,,,,1,2.0,3,3,,,2,2,6,La Paz
1107,22,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,7,,,,,,,,,4,,,,,,,,,1,2.0,2,5,,,2,5,6,La Paz
1108,14,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,9,,,,,,,,,2,,1,1,,,1,2,6,La Paz
1111,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,13,,,,,DEPORTES,,,,2,,1,5,,,1,3,6,La Paz
1116,18,1,,,,,1,1.0,5.0,,,1,1,2,1,1,4.0,5.0,,,,,,1.0,7,1,4.0,7.0,,10.0,,,,,7,,,,,,,,,2,,1,4,,,1,3,6,La Paz
1118,17,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,,3,2,7.0,,,,,,,,13,,,,,INVESTIGACION,,,,2,,1,1,,,2,2,6,La Paz
1122,15,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,4,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,,,1,2,6,La Paz
1124,16,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,2.0,2,4,9.0,10.0,,,,,,,7,9.0,,,,,,,,2,,1,3,,,2,2,6,La Paz
1125,22,1,,,,,1,1.0,5.0,,,1,2,2,2,1,4.0,5.0,,,,,,1.0,7,4,10.0,,,,,,,,9,,,,,,,,,1,2.0,1,1,,,1,4,6,La Paz
1129,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,8.0,,,,,,,9,,,,,,,,,2,,1,6,7.0,5.0,2,2,6,La Paz
1131,24,1,,,,,1,1.0,4.0,,,1,1,2,1,2,,,,,,,,1.0,5,1,2.0,6.0,,7.0,8.0,9.0,10.0,11.0,1,4.0,5.0,7.0,8.0,,9.0,12.0,,2,,2,4,5.0,6.0,1,4,6,La Paz
1132,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,2,10,,,,,,,,,7,,,,,,,,,2,,3,1,,,2,2,6,La Paz
1133,19,1,,,,,1,1.0,3.0,4.0,,1,2,2,2,3,,,,,,,,1.0,7,1,7.0,8.0,,,,,,,5,7.0,,,,,,,,2,,2,3,2.0,,1,3,6,La Paz
1137,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,10.0,,,,,,,,9,,,,,,,,,2,,3,9,,,2,2,6,El Alto
1138,21,1,,,,,1,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,,,,,,,,9,,,,,,,,,2,,2,5,,,2,3,6,El Alto
1143,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,7,2,4.0,,,,,,,,2,5.0,6.0,,,,,,,2,,1,5,,,2,2,6,El Alto
1144,24,1,,,,,1,1.0,5.0,,,1,1,2,1,1,1.0,2.0,4.0,,5.0,9.0,,1.0,5,1,2.0,,,,,,,,1,2.0,,,,,,,,2,,2,5,,,2,6,6,El Alto
1145,21,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,7,,,,,,,,,1,1.0,2,2,5.0,,1,6,6,El Alto
1147,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,10.0,,,,,,,,7,,,,,,,,,2,,2,9,,,1,2,6,El Alto
1149,18,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,7.0,,,,,,,1,1.0,1,1,2.0,7.0,2,3,6,El Alto
1150,18,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,1,1.0,10.0,11.0,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,5.0,7.0,,,,,,2,,1,5,3.0,1.0,1,3,6,El Alto
1153,15,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,2,2,,,,,,,,1.0,7,1,2.0,5.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,El Alto
1157,25,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,9,,,1,4,6,El Alto
1158,14,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,4.0,,,,,,,,2,,3,5,,,2,2,6,El Alto
1164,14,1,,,,,1,3.0,5.0,,,1,1,2,1,1,2.0,,,,,,,1.0,7,7,8.0,,,,,,,,7,,,,,,,,,2,,1,2,,,1,2,6,El Alto
1166,23,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,7,,,,,,,,,7,,,,,,,,,1,1.0,2,1,,,1,6,6,El Alto
1167,18,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,5,10.0,,,,,,,,9,,,,,,,,,1,2.0,2,3,,,2,3,6,El Alto
1171,15,1,,,,,1,3.0,4.0,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,,,,,,,,1,,,,,,,,,2,,3,1,,,1,2,6,El Alto
1174,15,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,5.0,8.0,,,,,,1.0,7,1,,,,,,,,,12,,,,,,,,,2,,1,5,,,2,2,6,El Alto
1175,25,1,,,,,1,1.0,2.0,4.0,5.0,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,3.0,,,,,,,1,9.0,12.0,,,,,,,1,1.0,2,5,,,2,7,6,El Alto
1177,15,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,5.0,7.0,,10.0,,,1.0,6,1,,,,,,,,,1,9.0,,,,,,,,2,,1,1,,,2,2,6,El Alto
1178,20,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,4.0,,,,,,,,2,,2,5,,,1,3,6,El Alto
1181,17,1,,,,,1,1.0,2.0,5.0,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,,,,,,,,1,2.0,,,,,,,,2,,1,6,,,1,2,6,El Alto
1183,16,1,,,,,1,2.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,3,1,9.0,10.0,,,,,,,9,,,,,,,,,2,,1,9,,,1,2,6,La Paz
1184,22,1,,,,,1,4.0,,,,1,2,2,1,1,1.0,2.0,4.0,,,,,1.0,5,2,,,,,,,,,9,,,,,,,,,2,,3,9,,,2,3,6,La Paz
