,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160,accesibilidad,utilidad
3607,21,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,6,1,8.0,9.0,,,,,,,5,7.0,,,,,,,,1,2.0,3,5,1.0,6.0,1,3,6,Potosí,0.375,0.324
3611,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,9.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,6,3.0,2.0,2,3,6,Potosí,0.5,0.145
3613,16,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,,1,4.0,5.0,7.0,,,,,,2,,1,2,7.0,,1,2,6,Potosí,0.875,0.668
3615,25,1,,,,,1,4.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,2.0,7.0,,9.0,,,,,5,9.0,,,,,,,,1,2.0,2,5,6.0,1.0,1,6,6,Potosí,0.75,0.348
3616,21,1,,,,,2,1.0,2.0,4.0,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,9.0,,,,,1,5.0,9.0,,,,,,,2,,1,5,6.0,1.0,1,6,6,Potosí,0.625,0.479
3618,22,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,6,10,11.0,,,,,,,,5,,,,,,,,,1,2.0,2,6,5.0,1.0,1,6,6,Potosí,0.75,0.162
3619,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,6,1,10.0,11.0,,,,,,,9,,,,,,,,,1,2.0,2,5,2.0,1.0,2,6,6,Potosí,0.625,0.105
3621,17,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,1,5.0,7.0,,,,,,,2,,3,6,1.0,2.0,2,2,6,Potosí,0.625,0.308
3625,22,1,,,,,1,1.0,2.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,9.0,10.0,,1,4.0,5.0,9.0,,,,,,1,1.0,2,5,6.0,1.0,2,6,6,Potosí,0.75,0.81
3626,19,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,8.0,9.0,10.0,11.0,,1,2.0,3.0,5.0,8.0,,9.0,10.0,12.0,1,2.0,1,6,7.0,3.0,2,3,6,Potosí,0.75,0.693
3629,16,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,2,2,,,,,,,,,9,,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Potosí,0.75,0.202
3635,16,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,6,1,7.0,9.0,,,,,,,5,9.0,,,,,,,,2,,1,6,5.0,2.0,2,2,6,Potosí,0.875,0.389
3642,14,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,10,,,,,,,,,9,,,,,,,,,2,,1,5,6.0,,1,2,6,Potosí,0.875,0.305
3643,23,1,,,,,1,4.0,5.0,,,1,2,2,1,1,1.0,2.0,,,,,,1.0,6,1,10.0,11.0,,,,,,,5,9.0,,,,,,,,1,2.0,2,5,6.0,7.0,1,6,6,Potosí,0.75,0.47
3646,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,,,,,,,,9,,,,,,,,,9,,1,1,,,2,2,6,Pata Pata,0.5,0.121
3647,18,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,1,4,,,,,,,,,9,,,,,,,,,2,,1,1,,,2,3,6,Pata Pata,0.375,0.08
3648,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,8.0,,,,,,,,1,,,,,,,,,2,,2,1,,,1,6,6,Pata Pata,0.5,0.04
3651,16,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,5,,,,,,,,,5,,,,,,,,,2,,1,1,2.0,,2,2,6,Cala Cala,0.625,0.064
3653,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,4.0,,,,,,,,1,,,,,,,,,2,,1,2,,,2,3,6,Cala Cala,0.5,0.121
3657,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,,2,4,8.0,10.0,,,,,,,3,,,,,,,,,2,,1,1,,,2,3,6,Amaya Pampa,0.5,0.08
3658,21,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,,2,1,5.0,7.0,,,,,,,3,,,,,,,,,1,2.0,3,1,,,1,3,6,Amaya Pampa,0.5,0.17
3662,17,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,,3,2,6.0,7.0,,9.0,,,,,5,7.0,12.0,,,,,,,9,,3,5,,,1,3,6,Amaya Pampa,0.625,0.592
3663,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,1,2.0,3.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,6.0,,2,2,6,Amaya Pampa,0.5,0.121
3664,20,1,,,,,1,1.0,,,,2,2,2,1,3,,,,,,,,1.0,5,1,2.0,,,,,,,,9,,,,,,,,,1,1.0,2,5,6.0,7.0,2,6,6,Amaya Pampa,0.5,0.218
3668,26,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,1,4,,,,,,,,,9,,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Amaya Pampa,0.625,0.3
3674,20,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,5,1,2.0,4.0,,,,,,,5,7.0,9.0,12.0,,,,,,1,1.0,2,3,6.0,,2,6,6,Yacuiba,0.75,0.543
3678,18,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,5,8,,,,,,,,,9,,,,,,,,,2,,1,5,1.0,,2,2,6,Yacuiba,0.875,0.122
3679,25,1,,,,,1,3.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,2,7.0,,,,,,,,9,,,,,,,,,2,,2,6,1.0,,1,6,6,Yacuiba,0.875,0.328
3680,21,1,,,,,1,2.0,3.0,,,1,1,2,1,1,1.0,2.0,7.0,,8.0,,,1.0,7,2,7.0,,,,,,,,5,,,,,,,,,2,,2,5,6.0,7.0,1,6,6,Yacuiba,0.875,0.489
3686,21,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,5,6.0,,1,6,6,Yacuiba,0.75,0.446
3687,22,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,5,9.0,,,,,,,,2,,2,5,6.0,1.0,2,6,6,Yacuiba,0.75,0.349
3695,22,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,2,5.0,6.0,,10.0,,,,,1,3.0,9.0,10.0,,,,,,1,9.0,2,6,1.0,4.0,2,6,6,Yacuiba,0.375,0.21
3696,15,1,,,,,2,2.0,3.0,5.0,,1,1,1,1,3,,,,,,,,1.0,1,1,9.0,10.0,,,,,,,5,,,,,,,,,2,,1,3,5.0,6.0,1,2,6,Yacuiba,0.75,0.361
3702,18,1,,,,,2,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,11.0,,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Yacuiba,0.625,0.248
3707,23,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,7,9.0,,,,,,,,2,,1,6,,,2,6,6,Yacuiba,0.875,0.324
3708,18,1,,,,,1,4.0,,,,1,1,2,1,1,10.0,,,,,,,1.0,7,5,7.0,10.0,,11.0,,,,,9,,,,,,,,,1,1.0,2,1,2.0,,1,3,6,Yacuiba,0.875,0.316
3714,18,1,,,,,1,5.0,,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,1,7.0,,,,,,,,2,,2,9,,,1,3,6,Yacuiba,1.0,0.308
3718,19,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,9,,,,,,,,,2,,2,9,,,2,6,6,Yacuiba,0.875,0.202
3719,16,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,9,10.0,,,,,,,,9,,,,,,,,,2,,1,9,,,2,2,6,Yacuiba,0.875,0.284
3720,25,1,,,,,1,5.0,,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,2,6,2.0,1.0,2,6,6,Yacuiba,1.0,0.243
3725,15,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,7,,,,,,,,,2,,3,1,2.0,4.0,2,2,6,Yacuiba,0.5,0.284
3730,22,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,1,1.0,2,1,2.0,3.0,1,6,6,Yacuiba,0.625,0.243
3735,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,11.0,,,,,1,7.0,,,,,,,,1,1.0,2,1,6.0,5.0,1,6,6,Yacuiba,0.75,0.267
3737,16,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,9,,,,,,,,,2,,3,1,2.0,5.0,1,2,6,Yacuiba,0.625,0.202
3740,35,1,,,,,1,1.0,2.0,4.0,,1,1,2,2,2,,,,,,,,2.0,7,1,7.0,,,,,,,,1,,,,,,,,,2,,3,1,5.0,6.0,1,6,6,Yacuiba,0.625,0.422
3743,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,7.0,,,,,,,4,5.0,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Yacuiba,0.5,0.292
3746,16,1,,,,,1,1.0,5.0,,,1,1,1,1,3,,,,,,,,1.0,5,1,8.0,,,,,,,,5,9.0,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Yacuiba,0.875,0.26
3747,22,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,2,3,,,,,,,,1.0,7,2,7.0,10.0,,,,,,,5,,,,,,,,,1,1.0,2,6,5.0,,2,6,6,Yacuiba,0.625,0.523
3751,22,1,,,,,1,1.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,5,,,,,,,,,2,,2,1,7.0,,1,6,6,Tarija,0.75,0.34
3758,19,1,,,,,2,5.0,,,,2,2,2,1,3,,,,,,,,1.0,3,1,2.0,7.0,,9.0,,,,,1,5.0,9.0,11.0,12.0,,,,,1,2.0,1,1,6.0,3.0,2,2,6,Tarija,0.375,0.348
3759,21,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,4.0,10.0,,,,,,,1,5.0,9.0,10.0,11.0,,12.0,,,1,2.0,2,5,6.0,,1,6,6,Tarija,0.625,0.243
3760,20,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,5,4,7.0,10.0,,,,,,,1,8.0,,,,,,,,1,2.0,1,4,5.0,,1,3,6,Tarija,0.875,0.364
3772,20,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,3,6,5.0,1.0,1,3,6,Tarija,0.375,0.243
3776,20,1,,,,,2,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,10.0,,,,,,,,5,9.0,,,,,,,,1,2.0,2,1,6.0,5.0,2,6,6,Tarija,0.375,0.162
3779,22,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,,,,,,,,,1,2.0,2,5,6.0,1.0,2,6,6,Tarija,0.75,0.34
3782,16,1,,,,,1,3.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,7,2.0,,2,2,6,Tarija,0.875,0.166
3787,21,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,9,10.0,,,,,,,,5,,,,,,,,,1,2.0,2,5,4.0,6.0,2,6,6,Tarija,0.5,0.162
3789,16,1,,,,,2,2.0,3.0,5.0,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,8.0,,10.0,,,,,1,7.0,,,,,,,,2,,1,6,1.0,5.0,1,2,6,Tarija,0.5,0.402
3791,20,1,,,,,1,2.0,3.0,,,1,1,2,2,2,,,,,,,,1.0,7,1,7.0,,,,,,,,9,,,,,,,,,2,,2,7,1.0,,2,6,6,Tarija,0.75,0.264
3792,18,1,,,,,1,2.0,4.0,,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,2,,3,9,,,2,3,6,Tarija,0.75,0.381
3793,15,1,,,,,1,3.0,,,,1,2,2,1,3,,,,,,,,1.0,7,8,10.0,,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Tarija,0.625,0.061
3798,24,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,9,,,,,,,,,2,,2,1,6.0,2.0,2,6,6,Tarija,0.875,0.324
3799,24,1,,,,,1,5.0,,,,1,1,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,2,1,2.0,7.0,1,6,6,Tarija,0.875,0.162
3802,14,1,,,,,1,3.0,,,,1,2,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,9,,,2,2,6,Tarija,0.625,0.061
3803,17,1,,,,,1,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,,,,,,,,9,,,,,,,,,2,,1,9,,,1,3,6,Tarija,0.625,0.105
3808,25,1,,,,,1,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,2,9,,,1,6,6,Tarija,0.75,0.105
3812,14,1,,,,,2,2.0,3.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Tarija,0.625,0.508
3817,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,4,7.0,8.0,,9.0,10.0,11.0,,,5,9.0,12.0,,,,,,,1,2.0,2,6,,,1,6,6,Tarija,0.875,0.628
3818,14,1,,,,,1,2.0,3.0,4.0,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,8.0,,9.0,10.0,,,,1,,,,,,,,,2,,1,5,1.0,6.0,1,2,6,Tarija,0.625,0.426
3819,14,1,,,,,1,3.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,9,,,2,2,6,Tarija,0.625,0.264
3820,19,1,,,,,1,1.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,2,9.0,10.0,,,,,,,7,8.0,9.0,,,,,,,2,,3,6,,,2,6,6,Tarija,0.625,0.34
3823,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,5,7.0,8.0,9.0,12.0,,,,,1,1.0,2,6,1.0,5.0,1,6,6,Tarija,0.875,0.523
3826,17,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,3.0,,4.0,6.0,7.0,9.0,10.0,1,5.0,8.0,11.0,,,,,,1,2.0,2,1,2.0,,1,3,6,Tarija,0.875,0.676
3832,17,1,,,,,1,,,,,1,1,2,1,1,8.0,10.0,11.0,,,,,1.0,7,4,9.0,10.0,,,,,,,7,,,,,,,,,1,2.0,1,1,,,2,3,6,Tarija,0.875,0.186
3841,20,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,4,,,,,,,,,5,,,,,,,,,2,,2,6,,,2,6,6,Tarija,0.625,0.324
3846,22,1,,,,,1,1.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,2,,2,1,2.0,,2,6,6,Tarija,0.75,0.26
3849,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,2,,3,1,2.0,3.0,2,2,6,Tarija,0.375,0.08
3851,15,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,2,,3,1,2.0,3.0,1,2,6,Tarija,0.75,0.162
3853,17,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,1,3,1.0,2.0,2,2,6,Tarija,0.75,0.284
3854,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,,,,,,,,,1,2.0,2,1,4.0,2.0,2,6,6,Tarija,0.75,0.243
3855,23,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,9.0,,,,,,,,1,1.0,2,1,4.0,3.0,1,6,6,Tarija,0.75,0.284
3856,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,13,,,,,Ninguna,,,,2,,1,6,1.0,3.0,1,2,6,El Común,0.5,0.08
3867,17,1,,,,,2,2.0,3.0,4.0,5.0,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,,,,,1,5.0,9.0,,,,,,,2,,1,3,6.0,7.0,1,2,6,El Común,0.5,0.588
3875,20,1,,,,,1,2.0,5.0,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,6,2,9.0,,,,,,,,5,,,,,,,,,2,,3,1,,,2,6,6,El Común,0.75,0.462
3876,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,2,,,,,,,,,9,,,,,,,,,2,,3,1,,,1,2,6,El Común,0.375,0.202
3881,16,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,3,1,5.0,2.0,2,2,6,El Común,0.5,0.04
3883,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,1,5.0,10.0,,,,,,,1,3.0,7.0,,,,,,,2,,3,6,1.0,,1,3,6,El Común,0.5,0.105
3885,24,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,5.0,10.0,,,,,,,1,9.0,,,,,,,,2,,3,1,5.0,6.0,1,6,6,El Común,0.375,0.105
3887,17,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,4,2,9.0,10.0,,11.0,,,,,1,5.0,9.0,12.0,,,,,,2,,1,6,,,2,2,6,El Común,0.875,0.527
3892,17,1,,,,,2,4.0,5.0,,,1,1,1,1,3,,,,,,,,1.0,6,1,10.0,,,,,,,,7,9.0,,,,,,,,2,,3,9,,,2,2,6,El Común,0.625,0.284
3918,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,1,2.0,7.0,,8.0,9.0,10.0,11.0,,1,7.0,9.0,,,,,,,2,,1,9,,,1,2,6,Fátima,0.625,0.29
3920,25,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,8.0,9.0,,10.0,11.0,,,,1,7.0,,,,,,,,1,2.0,2,9,,,1,6,6,Fátima,0.5,0.145
3921,19,1,,,,,1,1.0,,,,1,2,1,1,3,,,,,,,,1.0,4,2,7.0,9.0,,10.0,,,,,5,9.0,12.0,,,,,,,1,2.0,1,1,2.0,,2,3,6,Fátima,0.75,0.283
3926,16,1,,,,,1,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,1.0,2.0,,,,,,,7,8.0,12.0,,,,,,,2,,1,3,5.0,,1,2,6,Fátima,0.75,0.304
3927,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,7,9.0,,,,,,,,1,,,,,,,,,2,,3,1,3.0,6.0,1,3,6,Trinidad,0.375,0.105
3928,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,7,9.0,,,,,,,,1,,,,,,,,,2,,3,1,3.0,6.0,2,6,6,Trinidad,0.375,0.105
3941,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,4,1,9.0,10.0,,,,,,,6,,,,,,,,,2,,1,1,3.0,4.0,1,3,6,Trinidad,0.5,0.08
3943,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,2.0,3.0,2,2,6,Trinidad,0.375,0.08
3944,24,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,9.0,,,,,,,,2,,3,1,3.0,6.0,1,6,6,Trinidad,0.5,0.386
3945,19,1,,,,,1,1.0,2.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,,,,,,,,,1,2.0,3,1,6.0,5.0,2,3,6,Trinidad,0.625,0.422
3946,16,1,,,,,1,,,,,1,1,2,1,2,,,,,,,,1.0,5,8,9.0,,,,,,,,1,,,,,,,,,2,,3,1,6.0,5.0,1,2,6,Trinidad,0.75,0.04
3947,20,1,,,,,1,3.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,3,4,7.0,10.0,,,,,,,1,5.0,6.0,7.0,9.0,,,,,1,9.0,1,1,2.0,5.0,1,3,6,Trinidad,0.875,0.45
3950,21,1,,,,,1,2.0,3.0,4.0,5.0,1,2,1,1,1,1.0,4.0,7.0,,9.0,10.0,11.0,1.0,3,7,9.0,10.0,,,,,,,1,3.0,5.0,7.0,9.0,,,,,1,9.0,1,1,5.0,6.0,2,6,6,Trinidad,0.875,0.693
3951,23,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,4,7,9.0,10.0,,,,,,,1,4.0,5.0,7.0,9.0,,,,,2,,1,1,3.0,,1,6,6,Trinidad,0.625,0.105
3959,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,,,2,2,6,Trinidad,0.625,0.162
3962,16,1,,,,,2,3.0,4.0,5.0,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,1,2,3.0,1.0,2,2,6,Trinidad,0.5,0.426
3964,18,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,1,4.0,5.0,7.0,,,,,,1,1.0,2,1,,,1,3,6,Trinidad,0.875,0.336
3967,25,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,2.0,8.0,,,,,,,5,7.0,,,,,,,,2,,2,1,2.0,3.0,1,6,6,Trinidad,0.375,0.121
3968,23,1,,,,,1,1.0,,,,1,1,2,2,3,,,,,,,,1.0,2,2,10.0,,,,,,,,1,9.0,,,,,,,,2,,2,1,2.0,3.0,1,4,6,Trinidad,0.625,0.178
3969,24,1,,,,,1,1.0,5.0,,,1,2,2,2,3,,,,,,,,1.0,5,1,2.0,9.0,,,,,,,5,6.0,,,,,,,,2,,2,3,3.0,,1,6,6,Trinidad,0.5,0.381
3975,24,1,,,,,1,4.0,5.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,5,9.0,,,,,,,,2,,2,3,2.0,2.0,2,6,6,Trinidad,0.625,0.446
3976,22,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,6,1,2.0,10.0,,,,,,,1,3.0,9.0,,,,,,,1,2.0,2,2,3.0,1.0,1,6,6,Trinidad,0.625,0.243
3979,19,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,11.0,,,,,,,1,5.0,,,,,,,,1,2.0,2,3,3.0,3.0,2,6,6,Trinidad,0.625,0.308
3981,16,1,,,,,2,5.0,,,,1,1,2,2,3,,,,,,,,1.0,5,1,2.0,11.0,,,,,,,1,9.0,,,,,,,,2,,1,1,5.0,6.0,2,2,6,Trinidad,0.5,0.308
3985,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,4.0,10.0,,,,,,,1,5.0,6.0,7.0,9.0,,,,,1,2.0,2,4,5.0,6.0,1,6,6,San Ramón (Beni),0.5,0.121
3986,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,4.0,10.0,,,,,,,3,5.0,7.0,9.0,,,,,,2,,2,1,3.0,5.0,2,3,6,San Ramón (Beni),0.5,0.121
3991,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,,,,,,,,,12,,,,,,,,,2,,1,9,,,1,2,6,San Ramón (Beni),0.5,0.04
3992,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,10,,,,,,,,,5,,,,,,,,,2,,1,1,,,2,2,6,San Ramón (Beni),0.625,0.0
4005,19,1,,,,,1,5.0,,,,1,2,2,2,2,,,,,,,,1.0,6,1,2.0,10.0,,,,,,,8,,,,,,,,,2,,2,1,5.0,6.0,1,6,6,San Ramón (Beni),0.625,0.243
4010,18,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,5,1,2.0,7.0,,,,,,,9,,,,,,,,,2,,2,1,5.0,,2,3,6,San Ramón (Beni),0.75,0.308
4018,22,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,4.0,6.0,7.0,8.0,9.0,9,,,,,,,,,1,1.0,2,1,5.0,,2,6,6,San Borja,0.625,0.493
4020,14,1,,,,,2,3.0,,,,1,2,1,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,5.0,9.0,,,,,,,2,,1,1,5.0,6.0,1,2,6,San Borja,0.625,0.102
4023,15,1,,,,,1,6.0,,,,1,1,1,1,3,,,,,,,,1.0,7,8,,,,,,,,,9,,,,,,,,,2,,1,6,5.0,4.0,2,2,6,San Borja,0.875,0.0
4028,20,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,8.0,9.0,10.0,11.0,,1,5.0,7.0,9.0,,,,,,1,2.0,2,5,6.0,,2,6,6,San Borja,0.5,0.412
4034,14,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,13,,,,,Ninguna,,,,2,,1,6,,,1,2,6,Rurrenabaque,0.625,0.162
4035,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,13,,,,,Juegos,,,,2,,3,1,,,1,2,6,Rurrenabaque,0.5,0.08
4040,21,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,9,,,,,,,,,1,2.0,2,1,5.0,,2,6,6,Rurrenabaque,0.75,0.308
4045,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,1,9.0,10.0,,,,,,,7,,,,,,,,,1,2.0,3,1,,,1,2,6,Rurrenabaque,0.5,0.08
